A,B
"(0, 0, 0, 0)","[199.8515775249158, 0, 5]"
"(420, -20, -9, 0)","[199.9840327753295, 0, 349]"
"(420, -10, -8, 0)","[199.98296285892815, 0, 347]"
"(420, 0, -7, 0)","[199.98303092157136, 0, 343]"
"(350, 0, -6, 0)","[199.98091516064488, 0, 355]"
"(350, 10, -5, 0)","[199.9811444211718, 0, 342]"
"(350, 10, -4, 0)","[199.9792476325984, 0, 349]"
"(350, 20, -3, 0)","[199.97922471751585, 0, 347]"
"(350, 20, -2, 0)","[199.9781188968715, 0, 343]"
"(350, 20, -1, 0)","[199.97705673719992, 0, 342]"
"(350, 20, 0, 0)","[199.97597277046813, 0, 342]"
"(350, 20, 1, 0)","[199.9748754426861, 0, 343]"
"(350, 20, 2, 0)","[199.9737822900983, 0, 347]"
"(350, 10, 3, 0)","[199.9721267355171, 0, 349]"
"(350, 10, 4, 0)","[199.97147677804568, 0, 342]"
"(350, 0, 5, 0)","[199.96948434879263, 0, 355]"
"(350, 0, 6, 0)","[199.96915817306956, 0, 343]"
"(350, -10, 7, 0)","[199.96775006423871, 0, 347]"
"(350, -20, 8, 0)","[199.96594197641042, 0, 349]"
"(350, -30, 9, 0)","[199.9637371008092, 0, 355]"
"(350, -40, 10, 0)","[199.9694169470455, 0, 707]"
"(350, -50, 10, 0)","[199.9607763305508, 0, 689]"
"(280, -60, 10, 0)","[-767.7697391951233, 199.95939127665667, 366]"
"(280, -70, 10, 0)","[-682.3953502953234, 199.9541036532977, 346]"
"(280, -80, 10, 0)","[-895.4540500887546, 199.9453310631453, 362]"
"(280, -90, 10, 0)","[-24.345323572635948, 199.9280256671234, 349]"
"(280, -100, 10, 0)","[199.87936095542898, 0, 363]"
"(280, -110, 10, 0)","[199.87605093779428, 0, 474]"
"(280, -120, 10, 0)","[199.87031657532773, 0, 474]"
"(280, -130, 10, 0)","[-716.4990008005639, 199.86414944216546, 474]"
"(280, -140, 10, 0)","[-900.0, -849.6177601248274, 2]"
"(280, -150, 10, 0)","[-28.10504920089427, 0, 2]"
"(420, -30, -9, 0)","[199.98289728440574, 0, 340]"
"(420, -20, -8, 0)","[199.98213890921824, 0, 339]"
"(420, -20, -7, 0)","[199.97562470017908, 0, 342]"
"(350, -10, -6, 0)","[199.97955003197475, 0, 334]"
"(350, -10, -5, 0)","[199.97308722016535, 0, 357]"
"(350, 0, -4, 0)","[199.97831159210256, 0, 340]"
"(350, 0, -3, 0)","[199.97606947874138, 0, 343]"
"(350, 0, -2, 0)","[199.97059728839594, 0, 342]"
"(350, 0, -1, 0)","[199.96840912643694, 0, 357]"
"(350, 0, 0, 0)","[199.96656604346288, 0, 357]"
"(350, 0, 1, 0)","[199.9647999766225, 0, 342]"
"(350, 0, 2, 0)","[199.9696031413033, 0, 343]"
"(350, 0, 3, 0)","[199.97006954264688, 0, 340]"
"(350, -10, 4, 0)","[199.9599902517444, 0, 357]"
"(350, -10, 5, 0)","[199.96577687173996, 0, 334]"
"(350, -20, 6, 0)","[199.95723189567582, 0, 342]"
"(350, -20, 7, 0)","[199.96453570289572, 0, 339]"
"(350, -30, 8, 0)","[199.9634043097362, 0, 340]"
"(350, -40, 9, 0)","[199.95905887816727, 0, 334]"
"(350, -60, 10, 0)","[199.9486801029334, 0, 691]"
"(280, -130, -9, 0)","[199.81585217270262, 0, 40]"
"(280, -120, -8, 0)","[199.82285115723647, 0, 112]"
"(280, -120, -7, 0)","[57.73003407465807, 0, 1]"
"(280, -110, -6, 0)","[56.99644265879982, 0, 1]"
"(280, -110, -5, 0)","[56.138412401816694, 0, 1]"
"(280, -100, -4, 0)","[199.7771430831482, 0, 40]"
"(280, -100, -3, 0)","[53.96102067614583, 0, 1]"
"(280, -100, -2, 0)","[52.58809290853066, 0, 1]"
"(280, -100, -1, 0)","[50.982275910402464, 0, 1]"
"(210, -100, 0, 0)","[57.48632104311512, 0, 2]"
"(210, -100, 1, 0)","[46.90725336171079, 0, 1]"
"(210, -100, 2, 0)","[44.33779764788743, 0, 1]"
"(210, -100, 3, 0)","[41.33248610963924, 0, 1]"
"(210, -110, 4, 0)","[37.8173846843307, 0, 1]"
"(210, -110, 5, 0)","[33.706017901568295, 0, 1]"
"(210, -120, 6, 0)","[28.897241488831256, 0, 1]"
"(210, -120, 7, 0)","[199.62782860020548, 0, 112]"
"(210, -130, 8, 0)","[199.62617128265944, 0, 40]"
"(210, -140, 9, 0)","[8.9997, 0, 1]"
"(210, -150, 10, 0)","[-899.97, -7.730570111560766, 3]"
"(210, -160, 10, 0)","[-899.97, 0, 1]"
